date,revenue,expenses,profit,users,churn_rate
2023-01-01,10000,8000,2000,100,0.05
2023-01-02,11000,8500,2500,110,0.04
2023-01-03,12000,9000,3000,120,0.03
2023-01-04,13000,9500,3500,130,0.02
2023-01-05,14000,10000,4000,140,0.01
2023-01-06,15000,10500,4500,150,0.02
2023-01-07,16000,11000,5000,160,0.03
2023-01-08,17000,11500,5500,170,0.04
2023-01-09,18000,12000,6000,180,0.05
2023-01-10,19000,12500,6500,190,0.06
2023-01-11,20000,13000,7000,200,0.07
2023-01-12,21000,13500,7500,210,0.08
2023-01-13,22000,14000,8000,220,0.09
2023-01-14,23000,14500,8500,230,0.1
2023-01-15,24000,15000,9000,240,0.09
2023-01-16,25000,15500,9500,250,0.08
2023-01-17,26000,16000,10000,260,0.07
2023-01-18,27000,16500,10500,270,0.06
2023-01-19,28000,17000,11000,280,0.05
2023-01-20,29000,17500,11500,290,0.04
2023-01-21,30000,18000,12000,300,0.03
2023-01-22,31000,18500,12500,310,0.02
2023-01-23,32000,19000,13000,320,0.01
2023-01-24,33000,19500,13500,330,0.02
2023-01-25,34000,20000,14000,340,0.03
2023-01-26,35000,20500,14500,350,0.04
2023-01-27,36000,21000,15000,360,0.05
2023-01-28,37000,21500,15500,370,0.06
2023-01-29,38000,22000,16000,380,0.07
2023-01-30,39000,22500,16500,390,0.08
2023-01-31,40000,23000,17000,400,0.09
